"","Date","Time","Language","Webpage","Num_Hits","Page_Size"
"1","20081104","110000","eu","Barack_Obama",2,20799
"2","20081104","080000","pl","Specjalna:Eksport/Barack_Obama",1,79214
"3","20081104","080000","pl","Specjalna:Export/Barack_Obama",1,951
"4","20081104","070000","commons.m","Barack_Obama",20,552411
"5","20081104","070000","en","President_Barack_Obama",1,38176
"6","20081104","060001","en","Family_of_Barack_Obama",918,39132991
"7","20081104","020000","fi","Kuva:Barack_Obama.jpg",4,34158
"8","20081104","020000","fi","Kuva:Barack_Obama_at_Las_Vegas_Presidential_Forum.jpg",1,9264
"9","20081104","020000","fi","Kuva:Barack_Obama_in_New_Hampshire.jpg",1,9693
"10","20081104","020000","fi","Kuva:Sen._Barack_Obama_smiles.jpg",1,8682
"11","20081104","020000","scn","Barack_Obama",1,6680
"12","20081104","190000","pl","Grafika:Barack_Obama.jpg",10,128873
"13","20081104","190000","pl","Grafika:Barack_Obama_and_Ted_Kennedy_in_Hartford,_February_4,_2008.jpg",8,92780
"14","20081104","190000","pl","Grafika:Barack_Obama_in_New_Hampshire.jpg",23,266857
"15","20081104","190000","pl","Grafika:Barack_Obama_signature.svg",11,102235
"16","20081104","180001","es.n","Detenidos_dos_neonazis_que_pretend%C3%ADan_matar_a_Barack_Obama",1,8501
"17","20081104","180001","fr.n","Nouvelles_victoires_pour_Barack_Obama_et_John_McCain_dans_les_primaires_am%C3%A9ricaines",1,31451
"18","20081104","180001","fr.n","Nouvelles_victoires_pour_Barack_Obama_et_John_McCain_dans_les_primaires_am%c3%a9ricaines",1,9790
"19","20081104","180001","fr.n","Pr%C3%A9sidentielle_am%C3%A9ricaine_:_Barack_Obama_toujours_en_t%C3%AAte_%C3%A0_une_semaine_du_scrutin",2,18208
"20","20081104","160000","is","Spjall:Barack_Obama",1,5500
"21","20081104","120001","en","Special:WhatLinksHere/Barack_Obama",3,21513
"22","20081104","120001","en","Special:WhatLinksHere/Barack_Obama_and_homosexuals",1,4829
"23","20081104","120001","en","Special:WhatLinksHere/Category:Barack_Obama",1,19001
"24","20081104","220000","nds","Barack_Obama",2,31702
"25","20081104","220000","pt","Imagem:Barack_Obama.jpg",19,207975
"26","20081104","030000","en","Template:Barack_Obama",1,7249
"27","20081104","150000","en","Arianna_Huffington_or_Barack_Obama",1,5982
"28","20081104","150000","lb","Barack_Obama",2,9309
"29","20081104","150000","lb","Diskussioun:Barack_Obama",1,5930
"30","20081104","230000","en.s","Special:Whatlinkshere/Floor_Statement_of_Senator_Barack_Obama_on_Ethics_Reform",1,1063
"31","20081104","230000","en.s","Special:Whatlinkshere/Floor_Statement_of_Senator_Barack_Obama_on_the_Habeas_Corpus_Amendment",1,1065
"32","20081104","230000","en","Image_talk:Barack_Obama.jpg",1,20725
"33","20081104","040000","commons.m","Image:Press_photographers_and_film_crews_at_Barack_Obama_rally,_February_4,_2008.jpg",1,10879
"34","20081104","040000","commons.m","Image:Press_tables_at_Barack_Obama_rally,_February_4,_2008.jpg",1,10834
"35","20081104","040000","commons.m","Image:Press_tables_at_Barack_Obama_rally_2,_February_4,_2008.jpg",1,10865
"36","20081104","040000","en","United_States_Senate_career_of_Barack_Obama",34,1718100
"37","20081104","110000","da","Barack_Obama",171,3540760
"38","20081104","110000","da","Billede:Barack_Obama.jpg",4,33731
"39","20081104","110000","en","Image:Barack_Obama.jpg",637,12299270
"40","20081104","110000","en","Image:Barack_Obama_08.svg",3,67069
"41","20081104","110000","en","Image:Barack_Obama_Sr_Jr.jpg",77,868105
"42","20081104","110000","en","Image:Barack_Obama_and_Ted_Kennedy_in_Hartford,_February_4,_2008.jpg",4,47176
"43","20081104","110000","en","Image:Barack_Obama_in_Berlin.jpg",11,95604
"44","20081104","110000","en","Image:Barack_Obama_in_New_Hampshire.jpg",3,31620
"45","20081104","110000","en","Image:Barack_Obama_signature.png",1,8602
"46","20081104","110000","en","Image:Barack_Obama_signature.svg",111,1680550
"47","20081104","080000","da","Barack_Obama",232,4787479
"48","20081104","080000","da","Billede:Barack_Obama.jpg",6,50598
"49","20081104","090000","eo","Barack_Obama",2,12254
"50","20081104","210000","he","%D7%AA%D7%9E%D7%95%D7%A0%D7%94:Barack_Obama.jpg",17,192240
"51","20081104","180001","es.q","Barack_Obama",7,68897
"52","20081104","170000","en","Image:En-Barack_Obama-article1.ogg",1,25030
"53","20081104","170000","es","Imagen:Barack_Obama.jpg",31,372855
"54","20081104","170000","es","Imagen:Barack_Obama_2008_Iraq_19.jpg",24,316571
"55","20081104","170000","es","Imagen:Barack_Obama_at_NH.jpg",11,134186
"56","20081104","170000","es","Imagen:Barack_Obama_in_Berlin.jpg",14,134331
"57","20081104","170000","es","Imagen:Barack_Obama_signature.svg",29,332426
"58","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama,_crowd_and_endorsers_at_Hartford_rally,_February_4,_2008.jpg",1,49555
"59","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama.jpg",5,81788
"60","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama_and_supporters,_February_4,_2008.jpg",1,48565
"61","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama_in_Onawa.jpg",1,31095
"62","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama_signature.svg",2,45594
"63","20081104","170000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama_with_Marian_Edwards_three_frame.jpg",1,48333
"64","20081104","120001","en","Special:WhatLinksHere/Image:Barack_Obama.jpg",3,92028
"65","20081104","120001","en","Special:WhatLinksHere/Image_talk:Barack_Obama.jpg",1,15863
"66","20081104","150000","en","en:Barack_Obama",1,983
"67","20081104","150000","fr.n","%C3%89lection_pr%C3%A9sidentielle_am%C3%A9ricaine_2008_:_Colin_Powell_donne_son_appui_%C3%A0_Barack_Obama",1,8996
"68","20081104","150000","fr.n","%C3%89tats-Unis_:_Barack_Obama_%C3%A0_l%E2%80%99assaut_de_la_Maison_Blanche_apr%C3%A8s_son_investiture",1,9666
"69","20081104","150000","fr.n","Barack_Obama_f%C3%AAte_Halloween_avec_ses_deux_filles",1,18988
"70","20081104","150000","fr.n","Barack_Obama_remporte_la_primaire_d%C3%A9mocrate_de_Caroline_du_Sud",2,19805
"71","20081104","150000","fr.n","Cat%C3%A9gorie:Barack_Obama",4,18425
"72","20081104","150000","fr.n","Deuxi%C3%A8me_d%C3%A9bat_t%C3%A9l%C3%A9vis%C3%A9_entre_Barack_Obama_et_John_McCain",2,19980
"73","20081104","150000","fr.n","Special:Suivi_des_liens/Barack_Obama_f%C3%AAte_Halloween_avec_ses_deux_filles",1,5492
"74","20081104","150000","he","%D7%AA%D7%9E%D7%95%D7%A0%D7%94:Barack_Obama.jpg",28,391623
"75","20081104","230000","de.n","Bild:Sen._Barack_Obama_smiles.jpg",1,25539
"76","20081104","230000","de.n","Diskussion:Gro%C3%9Fmutter_von_Barack_Obama_verstorben",10,73744
"77","20081104","230000","de.n","Gro%C3%9Fmutter_von_Barack_Obama_verstorben",16,231133
"78","20081104","230000","de.n","John_McCain_%C3%BCbt_Kritik_an_Barack_Obamas_Deutschlandreise",1,9553
"79","20081104","230000","de.n","Spezial:%C3%84nderungen_an_verlinkten_Seiten/Diskussion:Barack_Obama_hat_die_Vorwahlen_in_Wyoming_gewonnen",1,5709
"80","20081104","230000","de.n","Spezial:%C3%84nderungen_an_verlinkten_Seiten/Gro%C3%9Fmutter_von_Barack_Obama_verstorben",2,23583
"81","20081104","230000","de.n","Spezial:Linkliste/Gro%C3%9Fmutter_von_Barack_Obama_verstorben",2,18647
"82","20081104","230000","de.n","US-Wahlkampf:_Ex-Au%C3%9Fenminister_Colin_Powell_unterst%C3%BCtzt_Barack_Obama",1,9289
"83","20081104","230000","en.s","Special:Whatlinkshere/Remarks_of_Senator_Barack_Obama_to_the_Hampton_University_Annual_Ministers'_Conference",1,1095
"84","20081104","230000","en.s","Statement_from_Barack_Obama_on_Darfur,_Sudan",2,13628
"85","20081104","040000","commons.m","Image:Rosa_DeLauro_at_Barack_Obama_rally,_February_4,_2008.jpg",1,11067
"86","20081104","040000","en","Republican_and_conservative_support_for_Barack_Obama_in_2008",9,219987
"87","20081104","040000","lt","Barack_Obama",1,10146
"88","20081104","110000","da","Diskussion:Barack_Obama",2,32918
"89","20081104","080000","da","Diskussion:Barack_Obama",2,6612
"90","20081104","070000","commons.m","Category:Barack_Obama",17,390588
"91","20081104","070000","en","United_States_Senate_career_of_Barack_Obama",16,1108357
"92","20081104","070000","pt.q","Barack_Obama",1,7426
"93","20081104","070000","th","%E0%B8%A0%E0%B8%B2%E0%B8%9E:Barack_Obama.jpg",1,10651
"94","20081104","060001","da","Barack_Obama",7,69189
"95","20081104","060001","en","Wikipedia:Featured_article_candidates/Barack_Obama",4,28849
"96","20081104","060001","en","Wikipedia:Featured_article_review/Barack_Obama/archive1",1,11061
"97","20081104","060001","en","Wikipedia:Featured_article_review/Barack_Obama/archive3",1,48807
"98","20081104","060001","nds","Barack_Obama",1,15778
"99","20081104","090000","fr","Image:Barack_Obama.jpg",53,632659
"100","20081104","090000","fr","Image:Barack_Obama_and_supporters_5,_February_4,_2008.jpg",16,181565
"101","20081104","020000","sh","Barack_Obama",2,30890
"102","20081104","210000","sv","Special:L%C3%A4nkar_hit/Bild:Barack_Obama_2008_Iraq_15.jpg",1,5368
"103","20081104","010000","en","Template:Barack_Obama",7,22959
"104","20081104","180001","en","Special:PrefixIndex/Barack_Obama_image",1,4873
"105","20081104","180001","hr","Barack_Obama",69,1091648
"106","20081104","160000","it.n","Categoria:Barack_Obama",7,45527
"107","20081104","160000","it.n","Primarie_democratiche_negli_USA:_Barack_Obama_si_proclama_vincitore",4,29430
"108","20081104","160000","it.q","Barack_Obama",16,174211
"109","20081104","200000","en","Special:WhatLinksHere/Barack_Obama",6,40495
"110","20081104","120001","en","Special:WhatLinksHere/List_of_Barack_Obama_presidential_campaign_endorsements,_2008",1,10612
