datetime,hits
2008-10-01 00:00:00,4141.0
2008-10-01 01:00:00,4216.0
2008-10-01 02:00:00,4035.0
2008-10-01 03:00:00,3931.0
2008-10-01 04:00:00,3249.0
2008-10-01 05:00:00,2449.0
2008-10-01 06:00:00,1897.0
2008-10-01 07:00:00,1395.0
2008-10-01 08:00:00,1151.0
2008-10-01 09:00:00,1018.0
2008-10-01 10:00:00,979.0
2008-10-01 11:00:00,1015.0
2008-10-01 12:00:00,1331.0
2008-10-01 13:00:00,2473.0
2008-10-01 14:00:00,3396.0
2008-10-01 15:00:00,4270.0
2008-10-01 16:00:00,4883.0
2008-10-01 17:00:00,5050.0
2008-10-01 18:00:00,4943.0
2008-10-01 19:00:00,5197.0
2008-10-01 20:00:00,4876.0
2008-10-01 21:00:00,4624.0
2008-10-01 22:00:00,4748.0
2008-10-01 23:00:00,4442.0
2008-10-02 00:00:00,4471.0
2008-10-02 01:00:00,4663.0
2008-10-02 02:00:00,4470.0
2008-10-02 03:00:00,4160.0
2008-10-02 04:00:00,3474.0
2008-10-02 05:00:00,2653.0
2008-10-02 06:00:00,2020.0
2008-10-02 07:00:00,1698.0
2008-10-02 08:00:00,1213.0
2008-10-02 09:00:00,1147.0
2008-10-02 10:00:00,896.0
2008-10-02 11:00:00,1100.0
2008-10-02 12:00:00,1561.0
2008-10-02 13:00:00,2929.0
2008-10-02 14:00:00,4045.0
2008-10-02 15:00:00,4917.0
2008-10-02 16:00:00,5217.0
2008-10-02 17:00:00,5527.0
2008-10-02 18:00:00,5555.0
2008-10-02 19:00:00,5510.0
2008-10-02 20:00:00,5365.0
2008-10-02 21:00:00,5389.0
2008-10-02 22:00:00,5052.0
2008-10-02 23:00:00,5038.0
2008-10-03 00:00:00,5358.0
2008-10-03 01:00:00,5533.0
2008-10-03 02:00:00,9056.0
2008-10-03 03:00:00,11494.0
2008-10-03 04:00:00,6359.0
2008-10-03 05:00:00,4440.0
2008-10-03 06:00:00,3126.0
2008-10-03 07:00:00,2341.0
2008-10-03 08:00:00,1633.0
2008-10-03 09:00:00,1467.0
2008-10-03 10:00:00,1231.0
2008-10-03 11:00:00,1356.0
2008-10-03 12:00:00,2001.0
2008-10-03 13:00:00,3512.0
2008-10-03 14:00:00,4646.0
2008-10-03 15:00:00,5273.0
2008-10-03 16:00:00,5720.0
2008-10-03 17:00:00,5649.0
2008-10-03 18:00:00,5556.0
2008-10-03 19:00:00,5517.0
2008-10-03 20:00:00,4966.0
2008-10-03 21:00:00,4579.0
2008-10-03 22:00:00,4420.0
2008-10-03 23:00:00,3856.0
2008-10-04 00:00:00,3643.0
2008-10-04 01:00:00,3405.0
2008-10-04 02:00:00,3471.0
2008-10-04 03:00:00,4314.0
2008-10-04 04:00:00,3207.0
2008-10-04 05:00:00,2469.0
2008-10-04 06:00:00,2095.0
2008-10-04 07:00:00,1622.0
2008-10-04 08:00:00,1254.0
2008-10-04 09:00:00,958.0
2008-10-04 10:00:00,980.0
2008-10-04 11:00:00,984.0
2008-10-04 12:00:00,1130.0
2008-10-04 13:00:00,1420.0
2008-10-04 14:00:00,2042.0
2008-10-04 15:00:00,2185.0
2008-10-04 16:00:00,2757.0
2008-10-04 17:00:00,2788.0
2008-10-04 18:00:00,2768.0
2008-10-04 19:00:00,3061.0
2008-10-04 20:00:00,3320.0
2008-10-04 21:00:00,3383.0
2008-10-04 22:00:00,3465.0
2008-10-04 23:00:00,3482.0
2008-10-05 00:00:00,3290.0
2008-10-05 01:00:00,3429.0
2008-10-05 02:00:00,3346.0
2008-10-05 03:00:00,3191.0
2008-10-05 04:00:00,3026.0
2008-10-05 05:00:00,2610.0
2008-10-05 06:00:00,2128.0
2008-10-05 07:00:00,1561.0
2008-10-05 08:00:00,1349.0
2008-10-05 09:00:00,1063.0
2008-10-05 10:00:00,1130.0
2008-10-05 11:00:00,1174.0
2008-10-05 12:00:00,1344.0
2008-10-05 13:00:00,1598.0
2008-10-05 14:00:00,2087.0
2008-10-05 15:00:00,2719.0
2008-10-05 16:00:00,3337.0
2008-10-05 17:00:00,3723.0
2008-10-05 18:00:00,3941.0
2008-10-05 19:00:00,4156.0
2008-10-05 20:00:00,4277.0
2008-10-05 21:00:00,4433.0
2008-10-05 22:00:00,4575.0
2008-10-05 23:00:00,4567.0
2008-10-06 00:00:00,4768.0
2008-10-06 01:00:00,5084.0
2008-10-06 02:00:00,5585.0
2008-10-06 03:00:00,4793.0
2008-10-06 04:00:00,4195.0
2008-10-06 05:00:00,3355.0
2008-10-06 06:00:00,2475.0
2008-10-06 07:00:00,2013.0
2008-10-06 08:00:00,1607.0
2008-10-06 09:00:00,1392.0
2008-10-06 10:00:00,1205.0
2008-10-06 11:00:00,1487.0
2008-10-06 12:00:00,1839.0
2008-10-06 13:00:00,3249.0
2008-10-06 14:00:00,4683.0
2008-10-06 15:00:00,5372.0
2008-10-06 16:00:00,5840.0
2008-10-06 17:00:00,6106.0
2008-10-06 18:00:00,6355.0
2008-10-06 19:00:00,6252.0
2008-10-06 20:00:00,6205.0
2008-10-06 21:00:00,6638.0
2008-10-06 22:00:00,6366.0
2008-10-06 23:00:00,6144.0
2008-10-07 00:00:00,6442.0
2008-10-07 01:00:00,6022.0
2008-10-07 02:00:00,5748.0
2008-10-07 03:00:00,5408.0
2008-10-07 04:00:00,4429.0
2008-10-07 05:00:00,3430.0
2008-10-07 06:00:00,2504.0
2008-10-07 07:00:00,1926.0
2008-10-07 08:00:00,1436.0
2008-10-07 09:00:00,1445.0
2008-10-07 10:00:00,1502.0
2008-10-07 11:00:00,1583.0
2008-10-07 12:00:00,2046.0
2008-10-07 13:00:00,3629.0
2008-10-07 14:00:00,4887.0
2008-10-07 15:00:00,6458.0
2008-10-07 16:00:00,6889.0
2008-10-07 17:00:00,6727.0
2008-10-07 18:00:00,6839.0
2008-10-07 19:00:00,7445.0
2008-10-07 20:00:00,7311.0
2008-10-07 21:00:00,7402.0
2008-10-07 22:00:00,6860.0
2008-10-07 23:00:00,6812.0
2008-10-08 00:00:00,7259.0
2008-10-08 01:00:00,7380.0
2008-10-08 02:00:00,17382.0
2008-10-08 03:00:00,22598.0
2008-10-08 04:00:00,9039.0
2008-10-08 05:00:00,6319.0
2008-10-08 06:00:00,4547.0
2008-10-08 07:00:00,2908.0
2008-10-08 08:00:00,2401.0
2008-10-08 09:00:00,1974.0
2008-10-08 10:00:00,1896.0
2008-10-08 11:00:00,1976.0
2008-10-08 12:00:00,2842.0
2008-10-08 13:00:00,4752.0
2008-10-08 14:00:00,6748.0
2008-10-08 15:00:00,8112.0
2008-10-08 16:00:00,8512.0
2008-10-08 17:00:00,8699.0
2008-10-08 18:00:00,8703.0
2008-10-08 19:00:00,8987.0
2008-10-08 20:00:00,8623.0
2008-10-08 21:00:00,8330.0
2008-10-08 22:00:00,7947.0
2008-10-08 23:00:00,7780.0
2008-10-09 00:00:00,7372.0
2008-10-09 01:00:00,7290.0
2008-10-09 02:00:00,7460.0
2008-10-09 03:00:00,6662.0
2008-10-09 04:00:00,6203.0
2008-10-09 05:00:00,5211.0
2008-10-09 06:00:00,3444.0
2008-10-09 07:00:00,2700.0
2008-10-09 08:00:00,2163.0
2008-10-09 09:00:00,1950.0
2008-10-09 10:00:00,1697.0
2008-10-09 11:00:00,1708.0
2008-10-09 12:00:00,2654.0
2008-10-09 13:00:00,4359.0
2008-10-09 14:00:00,6182.0
2008-10-09 15:00:00,7318.0
2008-10-09 16:00:00,7965.0
2008-10-09 17:00:00,8376.0
2008-10-09 18:00:00,8407.0
2008-10-09 19:00:00,8519.0
2008-10-09 20:00:00,8228.0
2008-10-09 21:00:00,7573.0
2008-10-09 22:00:00,7430.0
2008-10-09 23:00:00,6976.0
2008-10-10 00:00:00,7863.0
2008-10-10 01:00:00,7477.0
2008-10-10 02:00:00,7377.0
2008-10-10 03:00:00,6815.0
